node_id,bus,load_element_count,complete_official_files,dss_vs_parquet_max_abs_error_kw,dss_vs_parquet_mean_abs_error_kw,dss_vs_parquet_corr,legacy_vs_dss_max_abs_error_kw,legacy_vs_parquet_max_abs_error_kw,legacy_vs_dss_corr,legacy_vs_parquet_corr
p10rlv10217,p10rlv10217,2,True,0.8116621326718905,0.06537593034281713,0.9620926293731727,3.22581994712695,3.22581994712695,-0.26162358105168176,-0.3158853562338532
p10rlv11104,p10rlv11104,2,True,8.881784197001252e-16,1.8228062387752643e-17,1.0,8.775375614250002,8.775375614250002,0.30532269099920045,0.3053226909992005
p10rlv11105,p10rlv11105,2,True,2.7755575615628914e-17,9.445925776723025e-20,1.0,1.3652354765682715,1.3652354765682715,0.04012661983648573,0.04012661983648573
p10rlv11392,p10rlv11392,2,True,2.220446049250313e-16,7.967846321849636e-18,1.0,2.419844194853383,2.419844194853383,0.8416182309103225,0.8416182309103225
p10rlv12002,p10rlv12002,2,True,8.881784197001252e-16,1.0736591727296819e-16,1.0,9.288844017488339,9.288844017488339,0.11126071163029937,0.1112607116302994
p10rlv12029,p10rlv12029,2,True,4.440892098500626e-16,8.698964937523879e-18,1.0,6.5945340075190435,6.5945340075190435,0.33923947662122833,0.33923947662122833
p10rlv12030,p10rlv12030,2,True,4.440892098500626e-16,9.346911879692385e-20,1.0,13.772258490436476,13.772258490436476,0.2476966765958719,0.2476966765958719
p10rlv12345,p10rlv12345,2,True,4.440892098500626e-16,1.9337414090083927e-17,1.0,3.6677307770833165,3.6677307770833165,0.5821854253787627,0.5821854253787626
p10rlv13496,p10rlv13496,2,True,1.7763568394002505e-15,2.1339475088043463e-16,1.0,8.886092370682386,8.886092370682384,0.06713113827086208,0.06713113827086208
p10rlv13829,p10rlv13829,2,True,2.7755575615628914e-17,9.445925776723025e-20,1.0,2.5944545772520677,2.5944545772520677,0.38332582251399605,0.38332582251399605
p10rlv15288,p10rlv15288,2,True,8.881784197001252e-16,7.18365625736697e-18,1.0,7.530966081793668,7.530966081793668,0.2856689365448404,0.2856689365448404
p10rlv1542,p10rlv1542,2,True,8.881784197001252e-16,2.3666697723851618e-17,1.0,21.203895831791332,21.203895831791332,0.17482806756465177,0.17482806756465177
p10rlv15908,p10rlv15908,2,True,8.881784197001252e-16,1.8228062387752643e-17,1.0,8.775375614250002,8.775375614250002,0.30532269099920045,0.3053226909992005
p10rlv16523,p10rlv16523,2,True,8.881784197001252e-16,3.199495463089278e-17,0.9999999999999998,7.5257266844623665,7.5257266844623665,0.2624647468459288,0.2624647468459288
p10rlv17088,p10rlv17088,2,True,1.7763568394002505e-15,2.944594086573599e-17,1.0,14.975900500020352,14.975900500020352,0.18189878412132457,0.18189878412132457
p10rlv17370,p10rlv17370,2,True,2.220446049250313e-16,7.967846321849636e-18,1.0,2.419844194853383,2.419844194853383,0.8416182309103225,0.8416182309103225
p10rlv17685,p10rlv17685,2,True,8.881784197001252e-16,3.875958407602608e-17,1.0,7.5842545947439355,7.5842545947439355,0.32640977890304074,0.32640977890304074
p10rlv18002,p10rlv18002,2,True,1.1102230246251565e-16,1.8725508206434575e-18,0.9999999999999999,2.5878316979707545,2.5878316979707545,0.016191856938085423,0.016191856938085423
p10rlv1819,p10rlv1819,2,True,2.220446049250313e-16,9.676430129010354e-18,1.0,6.96842633695422,6.96842633695422,0.13869719679400774,0.1386971967940078
p10rlv18296,p10rlv18296,2,True,8.881784197001252e-16,2.130620641864117e-17,0.9999999999999998,11.30446150780877,11.30446150780877,0.06253238145613732,0.06253238145613732
p10rlv18297,p10rlv18297,2,True,8.881784197001252e-16,2.56003995273012e-16,1.0,5.819842776798072,5.819842776798071,0.815256192582755,0.8152561925827548
p10rlv18611,p10rlv18611,2,True,8.881784197001252e-16,2.986417556679342e-17,1.0,10.280911854466455,10.280911854466455,0.2728262282229207,0.2728262282229207
p10rlv18908,p10rlv18908,2,True,4.440892098500626e-16,5.549530900773293e-18,1.0,7.849818579478404,7.849818579478404,0.16856580729966056,0.16856580729966056
p10rlv19213,p10rlv19213,2,True,1.7763568394002505e-15,1.9425734486235258e-17,1.0,21.914859605922985,21.914859605922985,0.27716383750756834,0.27716383750756846
p10rlv19495,p10rlv19495,2,True,8.881784197001252e-16,2.7894987182648053e-17,0.9999999999999999,14.257673716029016,14.257673716029016,0.2646131625858255,0.2646131625858255
p10rlv19496,p10rlv19496,2,True,4.440892098500626e-16,8.698964937523879e-18,1.0,6.5945340075190435,6.5945340075190435,0.33923947662122833,0.33923947662122833
p10rlv19818,p10rlv19818,2,True,4.440892098500626e-16,2.492536238290511e-17,1.0,6.983712707483775,6.983712707483775,0.3427607215645435,0.3427607215645435
p10rlv20089,p10rlv20089,2,True,8.881784197001252e-16,2.56003995273012e-16,1.0,5.819842776798072,5.819842776798071,0.815256192582755,0.8152561925827548
